Brand,Model,Body_Type,Variant,Seater,Price,Fuel_Type,Location,Gearbox_Type
Volvo,C40 Recharge,SUV,E80,5,65.12,Electric,Delhi,Automatic
Mercedes-Benz,AMG GLA35,SUV,4MATIC,5,74.58,Petrol,Delhi,Automatic
Maserati,GranTurismoCoupe4-5,Coupe,Modena,5,318.0,Petrol,Delhi,Automatic
Land Rover,Rover Discovery,SUV,HSE R-Dynamic 2.0 Petrol,7,122.0,Petrol,Delhi,Automatic
Mercedes-Benz,G-Class Electric,SUV,G 580 Edition One,5,313.0,Electric,Delhi,Automatic
Toyota,HiluxPick-Up5,Pick-Up,Black Edition,5,45.56,Diesel,Delhi,Automatic
Aston Martin,Martin DB12Coupe4,Coupe,4.0-litre,4,518.0,Petrol,Delhi,Automatic
Mercedes-Benz,Maybach SL 680Convertible2,Convertible,Monogram Series,2,480.0,Petrol,Delhi,Automatic
Bmw,3 Series LWB,Sedan,330Li M Sport,5,73.31,Petrol,Delhi,Automatic
Lexus,LX,SUV,500d Urban,5,358.0,Diesel,Delhi,Automatic
Porsche,718Coupe2,Coupe,Cayman Style Edition,2,176.0,Petrol,Delhi,Automatic
Porsche,Macan Turbo EV,SUV,Electric SUV,5,176.0,Electric,Delhi,Automatic
